id,name,nameZh,type,category,power,accuracy,pp,description,effect,tags,notes
99,rage,愤怒,normal,physical,20,100,20,如果在使出招式后 受到攻击的话， 会因愤怒的力量而提高攻击。,,接触类,
33,tackle,撞击,normal,physical,40,100,35,用整个身体 撞向对手进行攻击。,,接触类,
148,flash,闪光,normal,status,0,100,20,使出耀眼光芒， 从而降低对手的命中率。,变化招式,,
68,counter,双倍奉还,fighting,physical,0,100,20,从对手那里受到 物理攻击的伤害将以 ２倍返还给同一个对手。,,接触类,
374,fling,投掷,dark,physical,0,100,10,快速投掷携带的道具进行攻击。 根据道具不同， 威力和效果会改变。,,,
58,ice-beam,冰冻光束,ice,special,90,100,10,向对手发射 冰冻光束进行攻击。 有时会让对手陷入冰冻状态。,10%，冰冻,,
352,water-pulse,水之波动,water,special,60,100,20,用水的震动攻击对手。 有时会使对手混乱。,20%，混乱,波动类,
115,reflect,反射壁,psychic,status,0,100,20,在５回合内使用神奇的墙， 减弱从对手那受到的 物理攻击的伤害。,变化招式,墙类,
231,iron-tail,铁尾,steel,physical,100,75,15,使用坚硬的尾巴 摔打对手进行攻击。 有时会降低对手的防御。,30%，对方防御 -1,接触类,
317,rock-tomb,岩石封锁,rock,physical,60,95,15,投掷岩石进行攻击。 封住对手的行动， 从而降低速度。,必定，对方速度 -1,,
157,rock-slide,岩崩,rock,physical,75,90,10,将大岩石 猛烈地撞向对手进行攻击。 有时会使对手畏缩。,30%，畏缩,,
523,bulldoze,重踏,ground,physical,60,100,20,用力踩踏地面并攻击 自己周围所有的宝可梦。 降低对方的速度。,必定，对方速度 -1,,
280,brick-break,劈瓦,fighting,physical,75,100,15,将手刀猛烈地挥下攻击对手。 还可以破坏光墙和反射壁等。,,接触类,
59,blizzard,暴风雪,ice,special,110,70,5,将猛烈的暴风雪 刮向对手进行攻击。 有时会让对手陷入冰冻状态。,10%，冰冻,风类,
253,uproar,吵闹,normal,special,90,100,10,在３回合内 用骚乱攻击对手。 在此期间谁都不能入眠。,,声音类,
332,aerial-ace,燕返,flying,physical,60,100,20,以敏捷的动作 戏弄对手后进行切斩。 攻击必定会命中。,必定命中,切割类,
247,shadow-ball,暗影球,ghost,special,80,100,15,投掷一团黑影进行攻击。 有时会降低对手的特防。,20%，对方特防 -1,弹类,
111,defense-curl,变圆,normal,status,0,100,40,将身体蜷曲变圆， 从而提高自己的防御。,变化招式,,
76,solar-beam,日光束,grass,special,120,100,10,第１回合收集满满的日光， 第２回合发射光束进行攻击。,需要一回合蓄力,,
89,earthquake,地震,ground,physical,100,100,10,利用地震的冲击， 攻击自己周围所有的宝可梦。,,,
244,psych-up,自我暗示,normal,status,0,100,10,向自己施以自我暗示， 将能力变化的状态 变得和对手一样。,,,
5,mega-punch,百万吨重拳,normal,physical,80,85,20,用充满力量的拳头攻击对手。,,拳类;接触类,
69,seismic-toss,地球上投,fighting,physical,0,100,20,利用引力将对手甩飞出去。 给予对手和自己等级相同的伤害。,,接触类,
25,mega-kick,百万吨重踢,normal,physical,120,75,5,使出力大无穷的重踢 踢飞对手进行攻击。,,接触类,
223,dynamic-punch,爆裂拳,fighting,physical,100,50,5,使出浑身力气出拳进行攻击。 必定会使对手混乱。,必定，混乱,拳类;接触类,
428,zen-headbutt,意念头锤,psychic,physical,80,90,15,将思念的力量集中在 前额进行攻击。 有时会使对手畏缩。,20%，畏缩,接触类,
351,shock-wave,电击波,electric,special,60,100,20,向对手快速发出电击。 攻击必定会命中。,必定命中,,
264,focus-punch,真气拳,fighting,physical,150,100,20,集中精神出拳。 在招式使出前 若受到攻击则会失败。,需要一回合蓄力,拳类;接触类,
885,trailblaze,起草,grass,physical,50,100,20,,必定，自身速度 +1,接触类,
612,power-up-punch,增强拳,fighting,physical,40,100,20,通过反复击打对手， 使自己的拳头慢慢变硬。 打中对手攻击就会提高。,,拳类;接触类,击中后攻击+1
197,detect,看穿,fighting,status,0,100,5,完全抵挡 对手的攻击。 连续使出则容易失败。,变化招式,守住类,
113,light-screen,光墙,psychic,status,0,100,30,在５回合内使用神奇的墙， 减弱从对手那受到的 特殊攻击的伤害。,变化招式,墙类,
283,endeavor,蛮干,normal,physical,0,100,5,给予伤害， 使对手的ＨＰ变得 和自己的ＨＰ一样。,,接触类,
282,knock-off,拍落,dark,physical,65,100,20,拍落对手的持有物， 直到战斗结束都不能使用。 对手携带道具时会增加伤害。,,接触类,
205,rollout,滚动,rock,physical,30,90,20,在５回合内连续滚动攻击对手。 招式每次击中，威力就会提高。,,接触类,
15,cut,居合斩,normal,physical,50,95,30,用镰刀或爪子等 切斩对手进行攻击。,,切割类;接触类,
184,scary-face,鬼面,normal,status,0,100,10,用恐怖的脸瞪着对手， 使其害怕， 从而大幅降低对手的速度。,变化招式,,
97,agility,高速移动,psychic,status,0,100,30,让身体放松变得轻盈， 以便高速移动。 大幅提高自己的速度。,变化招式,,
526,work-up,自我激励,normal,status,0,100,30,激励自己， 从而提高攻击和特攻。,变化招式,,
86,thunder-wave,电磁波,electric,status,0,90,20,向对手发出 微弱的电击， 从而让对手陷入麻痹状态。,变化招式,,
9,thunder-punch,雷电拳,electric,physical,75,100,15,用充满电流的拳头攻击对手。 有时会让对手陷入麻痹状态。,10%，麻痹,拳类;接触类,
324,signal-beam,信号光束,bug,special,75,100,15,发射神奇的光线进行攻击。 有时会使对手混乱。,10%，混乱,,
447,grass-knot,打草结,grass,special,0,100,20,用草缠住并绊倒对手。 对手越重，威力越大。,,接触类,
57,surf,冲浪,water,special,90,100,15,利用大浪 攻击自己周围所有的宝可梦。,,,
497,echoed-voice,回声,normal,special,40,100,15,用回声攻击对手。 如果每回合都有宝可梦接着 使用该招式，威力就会提高。,,声音类,
85,thunderbolt,十万伏特,electric,special,90,100,15,向对手发出 强力电击进行攻击。 有时会让对手陷入麻痹状态。,10%，麻痹,,
201,sandstorm,沙暴,rock,status,0,100,10,在５回合内扬起沙暴，除岩石、地面和 钢属性以外的宝可梦，都会受到伤害。 岩石属性的特防还会提高。,变化招式,风类,
8,ice-punch,冰冻拳,ice,physical,75,100,15,用充满寒气的拳头攻击对手。 有时会让对手陷入冰冻状态。,10%，冰冻,拳类;接触类,
14,swords-dance,剑舞,normal,status,0,100,20,激烈地跳起战舞提高气势。 大幅提高自己的攻击。,变化招式,舞蹈类,
55,water-gun,水枪,water,special,40,100,25,向对手猛烈地喷射 水流进行攻击。,,,
87,thunder,打雷,electric,special,110,70,10,向对手劈下暴雷进行攻击。 有时会让对手陷入麻痹状态。,30%，麻痹,,下雨天气必中
130,skull-bash,火箭头锤,normal,physical,130,100,10,第１回合把头缩进去， 从而提高防御。 第２回合攻击对手。,需要一回合蓄力,接触类,
219,safeguard,神秘守护,normal,status,0,100,25,在５回合内 被神奇的力量守护， 从而不会陷入异常状态。,变化招式,,
250,whirlpool,潮旋,water,special,35,85,15,将对手困在激烈的 水流旋涡中， 在４～５回合内进行攻击。,必定，束缚,,
341,mud-shot,泥巴射击,ground,special,55,95,15,向对手投掷 泥块进行攻击。 同时降低对手的速度。,必定，对方速度 -1,,
43,leer,瞪眼,normal,status,0,100,30,用犀利的眼神使其害怕， 从而降低对手的防御。,变化招式,,
103,screech,刺耳声,normal,status,0,85,40,发出不由自主想要 捂起耳朵的刺耳声， 从而大幅降低对手的防御。,变化招式,声音类,
53,flamethrower,喷射火焰,fire,special,90,100,15,向对手发射 烈焰进行攻击。 有时会让对手陷入灼伤状态。,10%，烧伤,,
258,hail,冰雹,ice,status,0,100,10,在５回合内一直降冰雹， 除冰属性的宝可梦以外， 给予全体宝可梦伤害。,变化招式,,
269,taunt,挑衅,dark,status,0,100,20,使对手愤怒。 在３回合内让对手 只能使出给予伤害的招式。,变化招式,,
510,incinerate,烧尽,fire,special,60,100,15,用火焰攻击对手。 对手携带树果等时， 会烧掉，使其不能使用。,,,
210,fury-cutter,连斩,bug,physical,40,95,20,用镰刀或爪子等 切斩对手进行攻击。 连续击中，威力就会提高。,,切割类;接触类,
46,roar,吼叫,normal,status,0,100,20,放走对手，强制拉后备宝可梦上场。 如果对手为野生宝可梦， 战斗将直接结束。,变化招式,声音类,
45,growl,叫声,normal,status,0,100,40,让对手听可爱的叫声， 引开注意力使其疏忽， 从而降低对手的攻击。,变化招式,声音类,
126,fire-blast,大字爆炎,fire,special,110,85,5,用大字形状的火焰烧尽对手。 有时会让对手陷入灼伤状态。,10%，烧伤,,
204,charm,撒娇,fairy,status,0,100,20,可爱地凝视， 诱使对手疏忽大意， 从而大幅降低对手的攻击。,变化招式,,
707,stomping-tantrum,跺脚,ground,physical,75,100,10,化悔恨为力量进行攻击。 如果上一回合招式没有打中， 威力就会翻倍。,,接触类,
94,psychic,精神强念,psychic,special,90,100,10,向对手发送 强大的念力进行攻击。 有时会降低对手的特防。,10%，对方特防 -1,,
227,encore,再来一次,normal,status,0,100,5,让对手接受再来一次， 连续３次使出最后使用的招式。,变化招式,,
7,fire-punch,火焰拳,fire,physical,75,100,15,用充满火焰的拳头攻击对手。 有时会让对手陷入灼伤状态。,10%，烧伤,拳类;接触类,
56,hydro-pump,水炮,water,special,110,80,5,向对手猛烈地喷射 大量水流进行攻击。,,,
886,chilling-water,泼冷水,water,special,50,100,20,,,,
202,giga-drain,终极吸取,grass,special,75,100,10,吸取对手的养分进行攻击。 可以回复给予对手 伤害的一半ＨＰ。,吸取伤害 50% HP,吸取类,
138,dream-eater,食梦,psychic,special,100,100,15,吃掉正在睡觉的对手的梦 进行攻击。回复对手 所受到伤害的一半ＨＰ。,吸取伤害 50% HP,,
371,payback,以牙还牙,dark,physical,50,100,10,蓄力攻击。 如果能在对手之后攻击， 招式的威力会变成２倍。,,接触类,
514,retaliate,报仇,normal,physical,70,100,5,为倒下的同伴报仇。 如果上一回合有同伴倒下， 威力就会提高。,,接触类,
246,ancient-power,原始之力,rock,special,60,100,5,用原始之力进行攻击。 有时会提高 自己所有的能力。,10%，自身攻击 +1,,
673,laser-focus,磨砺,normal,status,0,100,30,集中精神， 下次攻击必定会击中要害。,变化招式,,
411,focus-blast,真气弹,fighting,special,120,70,5,提高气势， 释放出全部力量。 有时会降低对手的特防。,10%，对方特防 -1,弹类,
414,earth-power,大地之力,ground,special,90,100,10,向对手脚下 释放出大地之力。 有时会降低对手的特防。,10%，对方特防 -1,,
127,waterfall,攀瀑,water,physical,80,100,15,以惊人的气势扑向对手。 有时会使对手畏缩。,20%，畏缩,接触类,
175,flail,抓狂,normal,physical,0,100,15,抓狂般乱打进行攻击。 自己的ＨＰ越少， 招式的威力越大。,,接触类,
446,stealth-rock,隐形岩,rock,status,0,100,20,将无数岩石悬浮在对手的周围， 从而对替换出场的对手的 宝可梦给予伤害。,变化招式,,
133,amnesia,瞬间失忆,psychic,status,0,100,20,将头脑清空， 瞬间忘记某事， 从而大幅提高自己的特防。,变化招式,,
67,low-kick,踢倒,fighting,physical,0,100,20,用力踢对手的脚， 使其摔倒进行攻击。 对手越重，威力越大。,,接触类,
192,zap-cannon,电磁炮,electric,special,120,50,5,发射大炮一样的 电流进行攻击。 让对手陷入麻痹状态。,必定，麻痹,弹类,
347,calm-mind,冥想,psychic,status,0,100,20,静心凝神， 从而提高自己的特攻和特防。,变化招式,,
444,stone-edge,尖石攻击,rock,physical,100,80,5,用尖尖的岩石 刺入对手进行攻击。 容易击中要害。,,,
451,charge-beam,充电光束,electric,special,50,90,10,向对手发射电击光束。 由于蓄满电流， 有时会提高自己的特攻。,70%，自身特攻 +1,,
468,hone-claws,磨爪,dark,status,0,100,15,将爪子磨得更加锋利。 提高自己的攻击和命中率。,变化招式,,
343,covet,渴望,normal,physical,60,100,25,一边可爱地撒娇， 一边靠近对手进行攻击， 还能夺取对手携带的道具。,,接触类,
118,metronome,挥指,normal,status,0,100,10,挥动手指刺激自己的大脑， 从所有的招式中 任意使出１个。,,,
61,bubble-beam,泡沫光线,water,special,65,100,20,向对手猛烈地喷射 泡沫进行攻击。 有时会降低对手的速度。,10%，对方速度 -1,,
291,dive,潜水,water,physical,80,100,10,第１回合潜入， 第２回合浮上来进行攻击。,需要一回合蓄力,接触类,
226,baton-pass,接棒,normal,status,0,100,40,和后备宝可梦进行替换。 换上的宝可梦能直接继承 其能力的变化。,变化招式,,
311,weather-ball,气象球,normal,special,50,100,10,根据使用时的天气， 招式属性和威力会改变。,,弹类,
412,energy-ball,能量球,grass,special,90,100,10,发射从自然收集的生命力量。 有时会降低对手的特防。,10%，对方特防 -1,弹类,
503,scald,热水,water,special,80,100,15,向对手喷射 煮得翻滚的开水进行攻击。 有时会让对手陷入灼伤状态。,30%，烧伤,,
402,seed-bomb,种子炸弹,grass,physical,80,100,15,将外壳坚硬的大种子， 从上方砸下攻击对手。,,弹类,
44,bite,咬住,dark,physical,60,100,25,用尖锐的牙 咬住对手进行攻击。 有时会使对手畏缩。,30%，畏缩,咬类;接触类,
259,torment,无理取闹,dark,status,0,100,15,向对手无理取闹， 令其不能连续２次 使出相同招式。,变化招式,,
188,sludge-bomb,污泥炸弹,poison,special,90,100,10,用污泥投掷对手进行攻击。 有时会让对手陷入中毒状态。,30%，中毒,弹类,
334,iron-defense,铁壁,steel,status,0,100,15,将皮肤变得坚硬如铁， 从而大幅提高自己的防御。,变化招式,,
98,quick-attack,电光一闪,normal,physical,40,100,30,以迅雷不及掩耳之势扑向对手。 必定能够先制攻击。,,接触类,
304,hyper-voice,巨声,normal,special,90,100,10,给予对手又吵又响的 巨大震动进行攻击。,,声音类,
398,poison-jab,毒击,poison,physical,80,100,20,用带毒的触手或手臂刺入对手。 有时会让对手陷入中毒状态。,30%，中毒,接触类,
242,crunch,咬碎,dark,physical,80,100,15,用利牙咬碎对手进行攻击。 有时会降低对手的防御。,20%，对方防御 -1,咬类;接触类,
116,focus-energy,聚气,normal,status,0,100,30,深深地吸口气，集中精神。 自己的攻击 会变得容易击中要害。,变化招式,,
180,spite,怨恨,ghost,status,0,100,10,对对手最后使用的招式 怀有怨恨， 减少４ＰＰ该招式。,,,
171,nightmare,恶梦,ghost,status,0,100,15,让在睡眠状态下的对手做恶梦， 每回合会缓缓减少ＨＰ。,,,
389,sucker-punch,突袭,dark,physical,70,100,5,可以比对手先攻击。 对手使出的招式 如果不是攻击招式则会失败。,,接触类,
109,confuse-ray,奇异之光,ghost,status,0,100,10,显示奇怪的光， 扰乱对手。 使对手混乱。,变化招式,,
710,liquidation,水流裂破,water,physical,85,100,10,用水之力量撞向对手进行攻击。 有时会降低对手的防御。,20%，对方防御 -1,接触类,
277,magic-coat,魔法反射,psychic,status,0,100,15,当对手使出会变成异常状态的 招式或寄生种子等时， 会将对手的招式反射回去。,,,
401,aqua-tail,水流尾,water,physical,90,90,10,如惊涛骇浪般挥动 大尾巴攻击对手。,,接触类,
479,smack-down,击落,rock,physical,50,100,15,扔石头或炮弹， 攻击飞行的对手。 对手会被击落，掉到地面。,,,
179,reversal,起死回生,fighting,physical,0,100,15,竭尽全力进行攻击。 自己的ＨＰ越少， 招式的威力越大。,,接触类,
431,rock-climb,攀岩,normal,physical,90,85,20,用尽全力扑向对手进行攻击。 有时会使对手混乱。,,接触类,
442,iron-head,铁头,steel,physical,80,100,15,用钢铁般 坚硬的头部进行攻击。 有时会使对手畏缩。,30%，畏缩,接触类,
605,dazzling-gleam,魔法闪耀,fairy,special,80,100,10,向对手发射强光， 并给予伤害。,,,
271,trick,戏法,psychic,status,0,100,10,抓住对手的空隙， 交换自己和对手的持有物。,,,
466,ominous-wind,奇异之风,ghost,special,60,100,5,突然刮起毛骨悚然的暴风 攻击对手。有时会提高 自己的全部能力。,10%，自身攻击 +1,风类,
675,throat-chop,地狱突刺,dark,physical,80,100,15,受到此招式攻击的对手， 会因为地狱般的痛苦，在２回合内， 变得无法使出声音类招式。,,接触类,
477,telekinesis,意念移物,psychic,status,0,100,15,利用超能力使对手浮起来。 在３回合内 攻击会变得容易打中对手。,,,
285,skill-swap,特性互换,psychic,status,0,100,10,利用超能力互换 自己和对手的特性。,,,
421,shadow-claw,暗影爪,ghost,physical,70,100,15,以影子做成的锐爪， 劈开对手。 容易击中要害。,无附加效果,接触类,
366,tailwind,顺风,flying,status,0,100,15,刮起猛烈的旋风， 在４回合内 提高我方全员的速度。,变化招式,风类,
60,psybeam,幻象光线,psychic,special,65,100,20,向对手发射 神奇的光线进行攻击。 有时会使对手混乱。,10%，混乱,,
432,defog,清除浓雾,flying,status,0,100,15,用强风吹开对手的 反射壁或光墙等。 也会降低对手的闪避率。,变化招式,,
362,brine,盐水,water,special,65,100,10,当对手的ＨＰ 负伤到一半左右时， 招式威力会变成２倍。,,,
276,superpower,蛮力,fighting,physical,120,100,5,发挥惊人的力量攻击对手。 自己的攻击和防御会降低。,必定，自身攻击 -1,接触类,
239,twister,龙卷风,dragon,special,40,100,20,兴起龙卷风， 将对手卷入进行攻击。 有时会使对手畏缩。,,风类,
114,haze,黑雾,ice,status,0,100,30,升起黑雾，将正在场上战斗的 全体宝可梦的能力变回原点。,变化招式,,
417,nasty-plot,诡计,dark,status,0,100,20,谋划诡计，激活头脑。 大幅提高自己的特攻。,变化招式,,
257,heat-wave,热风,fire,special,95,90,10,将炎热的气息 吹向对手进行攻击。 有时会让对手陷入灼伤状态。,10%，烧伤,风类,
314,air-cutter,空气利刃,flying,special,60,95,25,用锐利的风 切斩对手进行攻击。 容易击中要害。,,风类,
502,ally-switch,交换场地,psychic,status,0,100,15,用神奇的力量瞬间移动， 互换自己和同伴所在的位置。,,,
200,outrage,逆鳞,dragon,physical,120,100,10,在２～３回合内， 乱打一气地进行攻击。 大闹一番后自己会陷入混乱。,,接触类,
330,muddy-water,浊流,water,special,90,85,10,向对手喷射 浑浊的水进行攻击。 有时会降低对手的命中率。,30%，对方命中 -1,,
372,assurance,恶意追击,dark,physical,60,100,10,如果此回合内对手 已经受到伤害的话， 招式威力会变成２倍。,,接触类,
409,drain-punch,吸取拳,fighting,physical,75,100,10,用拳头吸取对手的力量。 可以回复给予对手 伤害的一半ＨＰ。,吸取伤害 50% HP,拳类;接触类,
474,venoshock,毒液冲击,poison,special,65,100,10,将特殊的毒液泼向对手。 对处于中毒状态的对手， 威力会变成２倍。,,,
355,roost,羽栖,flying,status,0,100,5,降到地面，使身体休息。 回复自己最大ＨＰ的一半。,变化招式,,
387,last-resort,珍藏,normal,physical,140,100,5,当战斗中已学会的招式 全部使用过后， 才能开始使出珍藏的招式。,,接触类,
289,snatch,抢夺,dark,status,0,100,10,将对手打算使用的回复招式 或能力变化招式夺为己用。,,,
611,infestation,死缠烂打,bug,special,20,100,20,在４～５回合内 死缠烂打地进行攻击。 在此期间对手将无法逃走。,必定，束缚,接触类,
66,submission,地狱翻滚,fighting,physical,80,80,20,将对手连同自己一起 摔向地面进行攻击。 自己也会受到少许伤害。,反伤 25%,接触类;反伤类,
369,u-turn,急速折返,bug,physical,70,100,20,在攻击之后急速返回， 和后备宝可梦进行替换。,必定,接触类,
72,mega-drain,超级吸取,grass,special,40,100,15,吸取对手的养分进行攻击。 可以回复给予对手 伤害的一半ＨＰ。,吸取伤害 50% HP,吸取类,
206,false-swipe,点到为止,normal,physical,40,100,40,对手的ＨＰ 至少会留下１ＨＰ， 如此般手下留情地攻击。,,接触类,
693,brutal-swing,狂舞挥打,dark,physical,60,100,20,用自己的身体狂舞挥打， 给予对手伤害。,,接触类,
272,role-play,扮演,psychic,status,0,100,10,扮演对手， 让自己的特性 变得和对手相同。,,,
473,psyshock,精神冲击,psychic,special,80,100,10,将神奇的念波实体化攻击对手。 给予物理伤害。,,,
492,foul-play,欺诈,dark,physical,95,100,15,利用对手的力量进行攻击。 正和自己战斗的对手， 其攻击越高，伤害越大。,,接触类,
267,nature-power,自然之力,normal,status,0,100,20,用自然之力进行攻击。 根据所使用场所的不同， 使出的招式也会有所变化。,,,
48,supersonic,超音波,normal,status,0,55,20,从身体发出 特殊的音波， 从而使对手混乱。,变化招式,声音类,
228,pursuit,追打,dark,physical,40,100,20,当对手替换宝可梦上场时 使出此招式的话， 能够以２倍的威力进行攻击。,,接触类,
340,bounce,弹跳,flying,physical,85,85,5,弹跳到高高的空中， 第２回合攻击对手。 有时会让对手陷入麻痹状态。,需要一回合蓄力,接触类,
500,stored-power,辅助力量,psychic,special,20,100,10,用蓄积起来的力量攻击对手。 自己的能力提高得越多， 威力就越大。,,,
120,self-destruct,自爆,normal,physical,200,100,5,引发爆炸， 攻击自己周围所有的宝可梦。 使用后陷入濒死。,,,
403,air-slash,空气斩,flying,special,75,95,15,用连天空也能劈开的 空气之刃进行攻击。 有时会使对手畏缩。,30%，畏缩,风类,
399,dark-pulse,恶之波动,dark,special,80,100,15,从体内发出 充满恶意的恐怖气场。 有时会使对手畏缩。,20%，畏缩,波类,
419,avalanche,雪崩,ice,physical,60,100,10,如果受到对手的招式攻击， 就能给予该对手 ２倍威力的攻击。,,接触类,
776,body-press,扑击,fighting,physical,80,100,10,用身体撞向对手进行攻击。 防御越高， 给予的伤害就越高。,,接触类,
220,pain-split,分担痛楚,normal,status,0,100,20,将自己的ＨＰ和 对手的ＨＰ相加， 然后自己和对手友好地平分。,,,
313,fake-tears,假哭,dark,status,0,100,20,装哭流泪。 使对手不知所措， 从而大幅降低对手的特防。,变化招式,,
583,play-rough,嬉闹,fairy,physical,90,90,10,与对手嬉闹并攻击。 有时会降低对手的攻击。,10%，对方攻击 -1,接触类,
248,future-sight,预知未来,psychic,special,120,100,10,在使用招式２回合后， 向对手发送一团念力进行攻击。,,,
261,will-o-wisp,鬼火,fire,status,0,85,15,放出怪异的火焰， 从而让对手陷入灼伤状态。,变化招式,,
39,tail-whip,摇尾巴,normal,status,0,100,30,可爱地左右摇晃尾巴， 诱使对手疏忽大意。 会降低对手的防御。,变化招式,,
93,confusion,念力,psychic,special,50,100,25,向对手发送 微弱的念力进行攻击。 有时会使对手混乱。,10%，混乱,,
286,imprison,封印,psychic,status,0,100,10,如果对手有和自己相同的招式， 那么只有对手无法使用该招式。,变化招式,,
163,slash,劈开,normal,physical,70,100,20,用爪子或镰刀等 劈开对手进行攻击。 容易击中要害。,,切割类;接触类,
512,acrobatics,杂技,flying,physical,55,100,15,轻巧地攻击对手。 自己没有携带道具时， 会给予较大的伤害。,,接触类,
106,harden,变硬,normal,status,0,100,30,全身使劲，让身体变硬， 从而提高自己的防御。,,,
50,disable,定身法,normal,status,0,100,20,阻碍对手行动， 之前使出的招式 将在４回合内无法使用。,变化招式,,
278,recycle,回收利用,normal,status,0,100,10,使战斗中已经消耗掉的 自己的持有物再生， 并可以再次使用。,,,
345,magical-leaf,魔法叶,grass,special,60,100,20,散落可以追踪 对手的神奇叶片。 攻击必定会命中。,必定命中,,
