id,name,nameZh,description,implemented,implementation_detail,notes,status
119,frisk,察觉,出场时， 可以察觉对手的持有物。,,,,
39,inner-focus,精神力,通过锻炼精神， 不会因对手的攻击而畏缩。,YES,不会陷入畏缩状态,,
151,infiltrator,穿透,可以穿透对手的壁障 或替身进行攻击。,,,,
1,stench,恶臭,通过释放臭臭的气味， 在攻击的时候， 有时会使对手畏缩。,,,,
27,effect-spore,孢子,受到攻击时， 有时会把接触到自己的对手 变为中毒、麻痹或睡眠状态。,YES,受到接触攻击时 30% 使其中毒/麻痹/睡眠(各10%),tags：接触类,
87,dry-skin,干燥皮肤,下雨天气时和受到水属性的招式时， ＨＰ会回复。晴朗天气时和受到火属性的 招式时，ＨＰ会减少。,YES,受到水系招式免疫并回复 HP 25%；受到火系伤害×1.25(未实现增伤),,
6,damp,湿气,通过把周围都弄湿， 使谁都无法使用自爆等爆炸类的招式。,,,,
147,wonder-skin,奇迹皮肤,成为不易受到变化招式 攻击的身体。,,,,
71,arena-trap,沙穴,在战斗中让对手无法逃走。,,,,
159,sand-force,沙之力,沙暴天气时， 岩石属性、地面属性 和钢属性的招式威力会提高。,YES,沙暴时岩石/地面/钢系招式威力 ×1.3,,
53,pickup,捡拾,有时会捡来对手用过的道具， 冒险过程中也会捡到。,,,,
101,technician,技术高手,攻击时可以将 低威力招式的威力提高。,YES,威力 ≤ 60 的招式威力 ×1.5,,
7,limber,柔软,因为身体柔软， 不会变为麻痹状态。,YES,不会陷入麻痹状态,,
13,cloud-nine,无关天气,任何天气的影响都会消失。,,,,
33,swift-swim,悠游自如,下雨天气时， 速度会提高。,YES,下雨时速度 ×2,,
72,vital-spirit,干劲,通过激发出干劲， 不会变为睡眠状态。,YES,不会陷入睡眠状态,,
83,anger-point,愤怒穴位,要害被击中时， 会大发雷霆， 攻击力变为最大。,,,,
128,defiant,不服输,能力被降低时， 攻击会大幅提高。,YES,能力被降低时攻击提升 2 级,,
154,justified,正义之心,受到恶属性的招式攻击时， 因为正义感，攻击会提高。,,,,
11,water-absorb,储水,受到水属性的招式攻击时， 不会受到伤害，而是会回复。,YES,受到水系招式时免疫并回复 HP 25%,,
28,synchronize,同步,将自己的中毒、麻痹 或灼伤状态传染给对手。,YES,被对方施加烧伤/麻痹/中毒时，对方也获得相同状态,,
99,no-guard,无防守,由于无防守战术， 双方使出的招式都必定会击中。,YES,双方所有招式必定命中,,
80,steadfast,不屈之心,每次畏缩时， 不屈之心就会燃起， 速度也会提高。,,,,
82,gluttony,贪吃鬼,原本ＨＰ变得很少时才会吃树果， 在ＨＰ还有一半时就会把它吃掉。,,,,
29,clear-body,恒净之躯,不会因为对手的招式或特性 而被降低能力。,YES,自身攻击/防御/特攻/特防/速度不会被对方降低,,
64,liquid-ooze,污泥浆,吸收了污泥浆的对手 会因强烈的恶臭 而受到伤害，减少ＨＰ。,YES,受到吸取类招式时，攻击方受到等量反伤,tags：吸取类,
69,rock-head,坚硬脑袋,即使使出会受反作用力伤害的招式， ＨＰ也不会减少。,YES,不会受到反伤伤害,,
5,sturdy,结实,即使受到对手的招式攻击， 也不会被一击打倒。 一击必杀的招式也没有效果。,YES,满血时受到致命一击保留 1 HP,,
49,flame-body,火焰之躯,有时会让接触到自己的 对手变为灼伤状态。,YES,受到接触攻击时 30% 使对方烧伤,tags：接触类,
12,oblivious,迟钝,因为感觉迟钝， 不会变为着迷和被挑衅状态。,,,,
20,own-tempo,我行我素,因为我行我素， 不会变为混乱状态。,YES,不会陷入混乱状态,,
144,regenerator,再生力,退回同行队伍后， ＨＰ会少量回复。,YES,交换下场时回复 HP 1/3,,
42,magnet-pull,磁力,用磁力吸住钢属性的宝可梦， 使其无法逃走。,,,,
148,analytic,分析,如果在最后使出招式， 招式的威力会提高。,,,,
48,early-bird,早起,即使变为睡眠状态， 也能以２倍的速度提早醒来。,YES,睡眠回合数减半(2→1回合),,
47,thick-fat,厚脂肪,因为被厚厚的脂肪保护着， 会让火属性和冰属性的招式伤害减半。,YES,受到火/冰系招式伤害 ×0.5,,
93,hydration,湿润之躯,下雨天气时， 异常状态会治愈。,,,,
115,ice-body,冰冻之躯,冰雹天气时， 会缓缓回复ＨＰ。,YES,冰雹时每回合末回复 HP 1/16,,
60,sticky-hold,黏着,因为道具是粘在黏性身体上的， 所以不会被对手夺走。,,,,
143,poison-touch,毒手,只通过接触就有可能 让对手变为中毒状态。,YES,攻击接触目标时 30% 使其中毒,tags：接触类,
75,shell-armor,硬壳盔甲,被坚硬的壳保护着， 对手的攻击不会击中要害。,,,,
92,skill-link,连续攻击,如果使用连续招式， 总是能使出最高次数。,,,,
142,overcoat,防尘,不会受到沙暴或冰雹等的伤害。 不会受到粉末类招式的攻击。,,,,tags：粉尘类
26,levitate,飘浮,从地面浮起， 从而不会受到地面属性招式的攻击。,YES,免疫地面属性招式伤害,,
130,cursed-body,诅咒之躯,受到攻击时， 有时会把对手的招式 变为定身法状态。,,,,
133,weak-armor,碎裂铠甲,如果因物理招式受到伤害， 防御会降低， 速度会大幅提高。,,,,
15,insomnia,不眠,因为是不会睡觉的体质， 所以不会变为睡眠状态。,YES,不会陷入睡眠状态,,
108,forewarn,预知梦,出场时， 只读取１个对手拥有的招式。,,,,
52,hyper-cutter,怪力钳,因为拥有以力量自豪的钳子， 不会被对手降低攻击。,YES,攻击能力不会被降低,,
43,soundproof,隔音,通过屏蔽声音， 不受到声音招式的攻击。,,,,tags：声音类
106,aftermath,引爆,变为濒死时， 会对接触到自己的对手造成伤害。,,,,
139,harvest,收获,可以多次制作出 已被使用掉的树果。,,,,
4,battle-armor,战斗盔甲,被坚硬的甲壳守护着， 不会被对手的攻击击中要害。,,,,
120,reckless,舍身,自己会因反作用力受伤的招式， 其威力会提高。,YES,反伤标签招式威力 ×1.2,tags：反伤类,
84,unburden,轻装,失去所持有的道具时， 速度会提高。,,,,
89,iron-fist,铁拳,使用拳类招式的威力会提高。,YES,拳类标签招式威力 ×1.2,tags：拳类,
256,neutralizing-gas,化学变化气体,特性为化学变化气体的宝可梦在场时， 场上所有宝可梦的 特性效果都会消失或者无法生效。,,,,
30,natural-cure,自然回复,回到同行队伍后， 异常状态就会被治愈。,YES,交换下场时治愈异常状态,,
32,serene-grace,天恩,托天恩的福， 招式的追加效果容易出现。,YES,自身攻击技能附加效果触发概率 ×2,,
131,healer,治愈之心,有时会治愈异常状态的同伴。,,,,
102,leaf-guard,叶子防守,晴朗天气时， 不会变为异常状态。,,,,
113,scrappy,胆量,一般属性和格斗属性的招式 可以击中幽灵属性的宝可梦。,,,,
41,water-veil,水幕,将水幕裹在身上， 不会变为灼伤状态。,YES,不会陷入烧伤状态,,
35,illuminate,发光,通过让周围变亮， 变得容易遇到野生的宝可梦。,,,,
111,filter,过滤,受到效果绝佳的攻击时， 可以减弱其威力。,YES,受到效果绝佳招式伤害 ×0.75,,
104,mold-breaker,破格,可以不受对手特性的干扰， 向对手使出招式。,,,,
153,moxie,自信过度,如果打倒对手， 就会充满自信，攻击会提高。,,,,
155,rattled,胆怯,受到恶属性、幽灵属性 和虫属性的招式攻击时， 会因胆怯而速度提高。,,,,
150,imposter,变身者,变身为当前面对的宝可梦。,,,,
91,adaptability,适应力,与自身同属性的招式 威力会提高。,YES,属性一致加成从 ×1.5 变为 ×2,,
107,anticipation,危险预知,可以察觉到 对手拥有的危险招式。,,,,
10,volt-absorb,蓄电,受到电属性的招式攻击时， 不会受到伤害，而是会回复。,YES,受到电系招式时免疫并回复 HP 25%,,
78,motor-drive,电动机,受到电属性的招式攻击时， 不会受到伤害，而是速度会大幅提高。,YES,免疫电系伤害，速度提升 1 级,
95,quick-feet,飞毛腿,变为异常状态时， 速度会提高。,YES,麻痹状态不会导致速度减半,,
36,trace,复制,出场时，复制对手的特性， 变为与之相同的特性。,,,,
88,download,下载,比较对手的防御和特防， 根据较低的那项能力 相应地提高自己的攻击或特攻。,,,,
46,pressure,压迫感,给予对手压迫感， 大量减少其使用招式的ＰＰ。,YES,攻击方招式 PP 消耗变为 2,,
17,immunity,免疫,因为体内拥有免疫能力， 不会变为中毒状态。,YES,不会陷入中毒状态,,
81,snow-cloak,雪隐,冰雹天气时， 闪避率会提高。,YES,冰雹时对方对自己的命中率 ×0.8,,
63,marvel-scale,神奇鳞片,如果变为异常状态， 神奇鳞片会发生反应， 防御会提高。,YES,处于异常状态时受到物理伤害 ×0.67(防御1.5倍),,
136,multiscale,多重鳞片,ＨＰ全满时， 受到的伤害会变少。,YES,满血时受到伤害 ×0.5,,
105,super-luck,超幸运,因为拥有超幸运， 攻击容易击中对手的要害。,,,,
156,magic-bounce,魔法镜,可以不受到由对手使出的 变化招式影响，并将其反弹。,,,,
57,plus,正电,出场的伙伴之间 如果有正电或负电特性的宝可梦， 自己的特攻会提高。,,,,
37,huge-power,大力士,物理攻击的威力会变为２倍。,YES,物理招式威力 ×2,,
157,sap-sipper,食草,受到草属性的招式攻击时， 不会受到伤害，而是攻击会提高。,YES,免疫草系伤害，攻击提升 1 级,,
2,drizzle,降雨,出场时， 会将天气变为下雨。,YES,出场时天气变为下雨,,
3,speed-boost,加速,每一回合速度会变快。,YES,每回合末速度提升 1 级(上限+6),,
158,prankster,恶作剧之心,可以率先使出变化招式。,,,,
23,shadow-tag,踩影,踩住对手的影子 使其无法逃走或替换。,,,,
140,telepathy,心灵感应,读取我方的攻击， 并闪避其招式伤害。,,,,
135,light-metal,轻金属,自身的重量会减半。,,,,
126,contrary,唱反调,能力的变化发生逆转， 原本提高时会降低， 而原本降低时会提高。,,,,
124,pickpocket,顺手牵羊,盗取接触到自己的 对手的道具。,,,,
118,honey-gather,采蜜,战斗结束时， 有时候会捡来甜甜蜜。,,,,
40,magma-armor,熔岩铠甲,将炽热的熔岩覆盖在身上， 不会变为冰冻状态。,YES,不会陷入冰冻状态,,
141,moody,心情不定,每一回合，能力中的某项 会大幅提高，而某项会降低。,,,,
21,suction-cups,吸盘,用吸盘牢牢贴在地面上， 让替换宝可梦的招式和道具无效。,,,,
45,sand-stream,扬沙,出场时， 会把天气变为沙暴。,YES,出场时天气变为沙暴,,
274,wind-rider,乘风,Boosts the Pokémon’s Attack stat if Tailwind takes effect or if the Pokémon is hit by a wind move. The Pokémon also takes no damage from wind moves.,,,,tags：风类
90,poison-heal,毒疗,变为中毒状态时， ＨＰ不会减少，反而会增加起来。,YES,中毒状态时每回合末回复 HP 1/8 并治愈中毒,,
54,truant,懒惰,如果使出招式， 下一回合就会休息。,,,,
25,wonder-guard,神奇守护,不可思议的力量， 只有效果绝佳的招式才能击中。,,,,
96,normalize,一般皮肤,无论是什么属性的招式， 全部会变为一般属性。 威力会少量提高。,,,,
100,stall,慢出,使出招式的顺序 必定会变为最后。,,,,
134,heavy-metal,重金属,自身的重量会变为２倍。,,,,
74,pure-power,瑜伽之力,因瑜伽的力量， 物理攻击的威力会变为２倍。,YES,物理招式威力 ×2,,
58,minus,负电,出场的伙伴之间 如果有正电或负电特性的宝可梦， 自己的特攻会提高。,,,,
24,rough-skin,粗糙皮肤,受到攻击时， 用粗糙的皮肤弄伤 接触到自己的对手。,YES,受到接触攻击时攻击方损失 HP 1/8,tags：接触类,
86,simple,单纯,能力变化会变为平时的２倍。,,,,
116,solid-rock,坚硬岩石,受到效果绝佳的攻击时， 可以减弱其威力。,YES,受到效果绝佳招式伤害 ×0.75,,
73,white-smoke,白色烟雾,被白色烟雾保护着， 不会被对手降低能力。,YES,自身攻击/防御/特攻/特防/速度不会被对方降低,,
137,toxic-boost,中毒激升,变为中毒状态时， 物理招式的威力会提高。,,,,
114,storm-drain,引水,将水属性的招式引到自己身上， 不会受到伤害，而是会提高特攻。,YES,免疫水系伤害并回复 HP 25%，特攻提升(标记),,
59,forecast,阴晴不定,受天气的影响， 会变为水属性、火属性 或冰属性中的某一个。,,,,
16,color-change,变色,自己的属性会变为 从对手处所受招式的属性。,,,,
168,protean,变幻自如,变为与自己使出的招式 相同的属性。,,,,
