dexId,name,nameZh,types,hp,atk,def,spa,spd,spe,abilityIds
25,pikachu,皮卡丘,Type.Electric, null,35,55,40,50,50,90,static
26,raichu,雷丘,Type.Electric, null,60,90,55,90,80,110,static
27,sandshrew,穿山鼠,Type.Ground, null,50,75,85,20,30,40,sand-veil
28,sandslash,穿山王,Type.Ground, null,75,100,110,45,55,65,sand-veil
29,nidoran-f,尼多兰,Type.Poison, null,55,47,52,40,40,41,poison-point;rivalry
30,nidorina,尼多娜,Type.Poison, null,70,62,67,55,55,56,poison-point;rivalry
31,nidoqueen,尼多后,Type.Poison, Type.Ground,90,92,87,75,85,76,poison-point;rivalry
32,nidoran-m,尼多朗,Type.Poison, null,46,57,40,40,40,50,poison-point;rivalry
33,nidorino,尼多力诺,Type.Poison, null,61,72,57,55,55,65,poison-point;rivalry
34,nidoking,尼多王,Type.Poison, Type.Ground,81,102,77,85,75,85,poison-point;rivalry
35,clefairy,皮皮,Type.Fairy, null,70,45,48,60,65,35,cute-charm;magic-guard
36,clefable,皮可西,Type.Fairy, null,95,70,73,95,90,60,cute-charm;magic-guard
37,vulpix,六尾,Type.Fire, null,38,41,40,50,65,65,flash-fire
38,ninetales,九尾,Type.Fire, null,73,76,75,81,100,100,flash-fire
39,jigglypuff,胖丁,Type.Normal, Type.Fairy,115,45,20,45,25,20,cute-charm;competitive
40,wigglytuff,胖可丁,Type.Normal, Type.Fairy,140,70,45,85,50,45,cute-charm;competitive
41,zubat,超音蝠,Type.Poison, Type.Flying,40,45,35,30,40,55,inner-focus
42,golbat,大嘴蝠,Type.Poison, Type.Flying,75,80,70,65,75,90,inner-focus
43,oddish,走路草,Type.Grass, Type.Poison,45,50,55,75,65,30,chlorophyll
44,gloom,臭臭花,Type.Grass, Type.Poison,60,65,70,85,75,40,chlorophyll
45,vileplume,霸王花,Type.Grass, Type.Poison,75,80,85,110,90,50,chlorophyll
46,paras,派拉斯,Type.Bug, Type.Grass,35,70,55,45,55,25,effect-spore;dry-skin
47,parasect,派拉斯特,Type.Bug, Type.Grass,60,95,80,60,80,30,effect-spore;dry-skin
48,venonat,毛球,Type.Bug, Type.Poison,60,55,50,40,55,45,compound-eyes;tinted-lens
49,venomoth,摩鲁蛾,Type.Bug, Type.Poison,70,65,60,90,75,90,shield-dust;tinted-lens
50,diglett,地鼠,Type.Ground, null,10,55,25,35,45,95,sand-veil;arena-trap
51,dugtrio,三地鼠,Type.Ground, null,35,100,50,50,70,120,sand-veil;arena-trap
52,meowth,喵喵,Type.Normal, null,40,45,35,40,40,90,pickup;technician
53,persian,猫老大,Type.Normal, null,65,70,60,65,65,115,limber;technician
54,psyduck,可达鸭,Type.Water, null,50,52,48,65,50,55,damp;cloud-nine
55,golduck,哥达鸭,Type.Water, null,80,82,78,95,80,85,damp;cloud-nine
56,mankey,猴怪,Type.Fighting, null,40,80,35,35,45,70,vital-spirit;anger-point
57,primeape,火暴猴,Type.Fighting, null,65,105,60,60,70,95,vital-spirit;anger-point
58,growlithe,卡蒂狗,Type.Fire, null,55,70,45,70,50,60,intimidate;flash-fire
59,arcanine,风速狗,Type.Fire, null,90,110,80,100,80,95,intimidate;flash-fire
60,poliwag,蚊香蝌蚪,Type.Water, null,40,50,40,40,40,90,water-absorb;damp
61,poliwhirl,蚊香君,Type.Water, null,65,65,65,50,50,90,water-absorb;damp
62,poliwrath,蚊香泳士,Type.Water, Type.Fighting,90,95,95,70,90,70,water-absorb;damp
63,abra,凯西,Type.Psychic, null,25,20,15,105,55,90,synchronize;inner-focus
64,kadabra,勇基拉,Type.Psychic, null,40,35,30,120,70,105,synchronize;inner-focus
65,alakazam,胡地,Type.Psychic, null,55,50,45,135,95,120,synchronize;inner-focus
66,machop,腕力,Type.Fighting, null,70,80,50,35,35,35,guts;no-guard
67,machoke,豪力,Type.Fighting, null,80,100,70,50,60,45,guts;no-guard
68,machamp,怪力,Type.Fighting, null,90,130,80,65,85,55,guts;no-guard
69,bellsprout,喇叭芽,Type.Grass, Type.Poison,50,75,35,70,30,40,chlorophyll
70,weepinbell,口呆花,Type.Grass, Type.Poison,65,90,50,85,45,55,chlorophyll
71,victreebel,大食花,Type.Grass, Type.Poison,80,105,65,100,70,70,chlorophyll
72,tentacool,玛瑙水母,Type.Water, Type.Poison,40,40,35,50,100,70,clear-body;liquid-ooze
73,tentacruel,毒刺水母,Type.Water, Type.Poison,80,70,65,80,120,100,clear-body;liquid-ooze
74,geodude,小拳石,Type.Rock, Type.Ground,40,80,100,30,30,20,rock-head;sturdy
75,graveler,隆隆石,Type.Rock, Type.Ground,55,95,115,45,45,35,rock-head;sturdy
76,golem,隆隆岩,Type.Rock, Type.Ground,80,120,130,55,65,45,rock-head;sturdy
77,ponyta,小火马,Type.Fire, null,50,85,55,65,65,90,run-away;flash-fire
78,rapidash,烈焰马,Type.Fire, null,65,100,70,80,80,105,run-away;flash-fire
79,slowpoke,呆呆兽,Type.Water, Type.Psychic,90,65,65,40,40,15,oblivious;own-tempo
80,slowbro,呆壳兽,Type.Water, Type.Psychic,95,75,110,100,80,30,oblivious;own-tempo
81,magnemite,小磁怪,Type.Electric, Type.Steel,25,35,70,95,55,45,magnet-pull;sturdy
82,magneton,三合一磁怪,Type.Electric, Type.Steel,50,60,95,120,70,70,magnet-pull;sturdy
83,farfetchd,大葱鸭,Type.Normal, Type.Flying,52,90,55,58,62,60,keen-eye;inner-focus
84,doduo,嘟嘟,Type.Normal, Type.Flying,35,85,45,35,35,75,run-away;early-bird
85,dodrio,嘟嘟利,Type.Normal, Type.Flying,60,110,70,60,60,110,run-away;early-bird
86,seel,小海狮,Type.Water, null,65,45,55,45,70,45,thick-fat;hydration
87,dewgong,白海狮,Type.Water, Type.Ice,90,70,80,70,95,70,thick-fat;hydration
88,grimer,臭泥,Type.Poison, null,80,80,50,40,50,25,stench;sticky-hold
89,muk,臭臭泥,Type.Poison, null,105,105,75,65,100,50,stench;sticky-hold
90,shellder,大舌贝,Type.Water, null,30,65,100,45,25,40,shell-armor;skill-link
91,cloyster,刺甲贝,Type.Water, Type.Ice,50,95,180,85,45,70,shell-armor;skill-link
92,gastly,鬼斯,Type.Ghost, Type.Poison,30,35,30,100,35,80,levitate
93,haunter,鬼斯通,Type.Ghost, Type.Poison,45,50,45,115,55,95,levitate
94,gengar,耿鬼,Type.Ghost, Type.Poison,60,65,60,130,75,110,cursed-body
95,onix,大岩蛇,Type.Rock, Type.Ground,35,45,160,30,45,70,rock-head;sturdy
96,drowzee,催眠貘,Type.Psychic, null,60,48,45,43,90,42,insomnia;forewarn
97,hypno,引梦貘人,Type.Psychic, null,85,73,70,73,115,67,insomnia;forewarn
98,krabby,大钳蟹,Type.Water, null,30,105,90,25,25,50,hyper-cutter;shell-armor
99,kingler,巨钳蟹,Type.Water, null,55,130,115,50,50,75,hyper-cutter;shell-armor
100,voltorb,霹雳电球,Type.Electric, null,40,30,50,55,55,100,soundproof;static
101,electrode,顽皮雷弹,Type.Electric, null,60,50,70,80,80,150,soundproof;static
102,exeggcute,蛋蛋,Type.Grass, Type.Psychic,60,40,80,60,45,40,chlorophyll
103,exeggutor,椰蛋树,Type.Grass, Type.Psychic,95,95,85,125,75,55,chlorophyll
104,cubone,卡拉卡拉,Type.Ground, null,50,50,95,40,50,35,rock-head;lightning-rod
105,marowak,嘎啦嘎啦,Type.Ground, null,60,80,110,50,80,45,rock-head;lightning-rod
106,hitmonlee,飞腿郎,Type.Fighting, null,50,120,53,35,110,87,limber;reckless
107,hitmonchan,快拳郎,Type.Fighting, null,50,105,79,35,110,76,keen-eye;iron-fist
108,lickitung,大舌头,Type.Normal, null,90,55,75,60,75,30,own-tempo;oblivious
109,koffing,瓦斯弹,Type.Poison, null,40,65,95,60,45,35,levitate;neutralizing-gas
110,weezing,双弹瓦斯,Type.Poison, null,65,90,120,85,70,60,levitate;neutralizing-gas
111,rhyhorn,独角犀牛,Type.Ground, Type.Rock,80,85,95,30,30,25,lightning-rod;rock-head
112,rhydon,钻角犀兽,Type.Ground, Type.Rock,105,130,120,45,45,40,lightning-rod;rock-head
113,chansey,吉利蛋,Type.Normal, null,250,5,5,35,105,50,natural-cure;serene-grace
114,tangela,蔓藤怪,Type.Grass, null,65,55,115,100,40,60,chlorophyll;leaf-guard
115,kangaskhan,袋兽,Type.Normal, null,105,95,80,40,80,90,early-bird;scrappy
116,horsea,墨海马,Type.Water, null,30,40,70,70,25,60,swift-swim;sniper
117,seadra,海刺龙,Type.Water, null,55,65,95,95,45,85,poison-point;sniper
118,goldeen,角金鱼,Type.Water, null,45,67,60,35,50,63,swift-swim;water-veil
119,seaking,金鱼王,Type.Water, null,80,92,65,65,80,68,swift-swim;water-veil
120,staryu,海星星,Type.Water, null,30,45,55,70,55,85,illuminate;natural-cure
121,starmie,宝石海星,Type.Water, Type.Psychic,60,75,85,100,85,115,illuminate;natural-cure
122,mr-mime,魔墙人偶,Type.Psychic, Type.Fairy,40,45,65,100,120,90,soundproof;filter
123,scyther,飞天螳螂,Type.Bug, Type.Flying,70,110,80,55,80,105,swarm;technician
124,jynx,迷唇姐,Type.Ice, Type.Psychic,65,50,35,115,95,95,oblivious;forewarn
125,electabuzz,电击兽,Type.Electric, null,65,83,57,95,85,105,static
126,magmar,鸭嘴火兽,Type.Fire, null,65,95,57,100,85,93,flame-body
127,pinsir,凯罗斯,Type.Bug, null,65,125,100,55,70,85,hyper-cutter;mold-breaker
128,tauros,肯泰罗,Type.Normal, null,75,100,95,40,70,110,intimidate;anger-point
129,magikarp,鲤鱼王,Type.Water, null,20,10,55,15,20,80,swift-swim
130,gyarados,暴鲤龙,Type.Water, Type.Flying,95,125,79,60,100,81,intimidate
131,lapras,拉普拉斯,Type.Water, Type.Ice,130,85,80,85,95,60,water-absorb;shell-armor
132,ditto,百变怪,Type.Normal, null,48,48,48,48,48,48,limber
133,eevee,伊布,Type.Normal, null,55,55,50,45,65,55,run-away;adaptability
134,vaporeon,水伊布,Type.Water, null,130,65,60,110,95,65,water-absorb
135,jolteon,雷伊布,Type.Electric, null,65,65,60,110,95,130,volt-absorb
136,flareon,火伊布,Type.Fire, null,65,130,60,95,110,65,flash-fire
137,porygon,多边兽,Type.Normal, null,65,60,70,85,75,40,trace;download
138,omanyte,菊石兽,Type.Rock, Type.Water,35,40,100,90,55,35,swift-swim;shell-armor
139,omastar,多刺菊石兽,Type.Rock, Type.Water,70,60,125,115,70,55,swift-swim;shell-armor
140,kabuto,化石盔,Type.Rock, Type.Water,30,80,90,55,45,55,swift-swim;battle-armor
141,kabutops,镰刀盔,Type.Rock, Type.Water,60,115,105,65,70,80,swift-swim;battle-armor
142,aerodactyl,化石翼龙,Type.Rock, Type.Flying,80,105,65,60,75,130,rock-head;pressure
143,snorlax,卡比兽,Type.Normal, null,160,110,65,65,110,30,immunity;thick-fat
144,articuno,急冻鸟,Type.Ice, Type.Flying,90,85,100,95,125,85,pressure
145,zapdos,闪电鸟,Type.Electric, Type.Flying,90,90,85,125,90,100,pressure
146,moltres,火焰鸟,Type.Fire, Type.Flying,90,100,90,125,85,90,pressure
147,dratini,迷你龙,Type.Dragon, null,41,64,45,50,50,50,shed-skin
148,dragonair,哈克龙,Type.Dragon, null,61,84,65,70,70,70,shed-skin
149,dragonite,快龙,Type.Dragon, Type.Flying,91,134,95,100,100,80,inner-focus
150,mewtwo,超梦,Type.Psychic, null,106,110,90,154,90,130,pressure
151,mew,梦幻,Type.Psychic, null,100,100,100,100,100,100,synchronize
152,chikorita,菊草叶,Type.Grass, null,45,49,65,49,65,45,overgrow
153,bayleef,月桂叶,Type.Grass, null,60,62,80,63,80,60,overgrow
154,meganium,大竺葵,Type.Grass, null,80,82,100,83,100,80,overgrow
155,cyndaquil,火球鼠,Type.Fire, null,39,52,43,60,50,65,blaze
156,quilava,火岩鼠,Type.Fire, null,58,64,58,80,65,80,blaze
157,typhlosion,火暴兽,Type.Fire, null,78,84,78,109,85,100,blaze
158,totodile,小锯鳄,Type.Water, null,50,65,64,44,48,43,torrent
159,croconaw,蓝鳄,Type.Water, null,65,80,80,59,63,58,torrent
160,feraligatr,大力鳄,Type.Water, null,85,105,100,79,83,78,torrent
161,sentret,尾立,Type.Normal, null,35,46,34,35,45,20,run-away;keen-eye
162,furret,大尾立,Type.Normal, null,85,76,64,45,55,90,run-away;keen-eye
163,hoothoot,咕咕,Type.Normal, Type.Flying,60,30,30,36,56,50,insomnia;keen-eye
164,noctowl,猫头夜鹰,Type.Normal, Type.Flying,100,50,50,86,96,70,insomnia;keen-eye
165,ledyba,芭瓢虫,Type.Bug, Type.Flying,40,20,30,40,80,55,swarm;early-bird
166,ledian,安瓢虫,Type.Bug, Type.Flying,55,35,50,55,110,85,swarm;early-bird
167,spinarak,圆丝蛛,Type.Bug, Type.Poison,40,60,40,40,40,30,swarm;insomnia
168,ariados,阿利多斯,Type.Bug, Type.Poison,70,90,70,60,70,40,swarm;insomnia
169,crobat,叉字蝠,Type.Poison, Type.Flying,85,90,80,70,80,130,inner-focus
170,chinchou,灯笼鱼,Type.Water, Type.Electric,75,38,38,56,56,67,volt-absorb;illuminate
171,lanturn,电灯怪,Type.Water, Type.Electric,125,58,58,76,76,67,volt-absorb;illuminate
172,pichu,皮丘,Type.Electric, null,20,40,15,35,35,60,static
173,cleffa,皮宝宝,Type.Fairy, null,50,25,28,45,55,15,cute-charm;magic-guard
174,igglybuff,宝宝丁,Type.Normal, Type.Fairy,90,30,15,40,20,15,cute-charm;competitive
175,togepi,波克比,Type.Fairy, null,35,20,65,40,65,20,hustle;serene-grace
176,togetic,波克基古,Type.Fairy, Type.Flying,55,40,85,80,105,40,hustle;serene-grace
177,natu,天然雀,Type.Psychic, Type.Flying,40,50,45,70,45,70,synchronize;early-bird
178,xatu,天然鸟,Type.Psychic, Type.Flying,65,75,70,95,70,95,synchronize;early-bird
179,mareep,咩利羊,Type.Electric, null,55,40,40,65,45,35,static
180,flaaffy,茸茸羊,Type.Electric, null,70,55,55,80,60,45,static
181,ampharos,电龙,Type.Electric, null,90,75,85,115,90,55,static
182,bellossom,美丽花,Type.Grass, null,75,80,95,90,100,50,chlorophyll
183,marill,玛力露,Type.Water, Type.Fairy,70,20,50,20,50,40,thick-fat;huge-power
184,azumarill,玛力露丽,Type.Water, Type.Fairy,100,50,80,60,80,50,thick-fat;huge-power
185,sudowoodo,树才怪,Type.Rock, null,70,100,115,30,65,30,sturdy;rock-head
186,politoed,蚊香蛙皇,Type.Water, null,90,75,75,90,100,70,water-absorb;damp
187,hoppip,毽子草,Type.Grass, Type.Flying,35,35,40,35,55,50,chlorophyll;leaf-guard
188,skiploom,毽子花,Type.Grass, Type.Flying,55,45,50,45,65,80,chlorophyll;leaf-guard
189,jumpluff,毽子棉,Type.Grass, Type.Flying,75,55,70,55,95,110,chlorophyll;leaf-guard
190,aipom,长尾怪手,Type.Normal, null,55,70,55,40,55,85,run-away;pickup
191,sunkern,向日种子,Type.Grass, null,30,30,30,30,30,30,chlorophyll;solar-power
192,sunflora,向日花怪,Type.Grass, null,75,75,55,105,85,30,chlorophyll;solar-power
193,yanma,蜻蜻蜓,Type.Bug, Type.Flying,65,65,45,75,45,95,speed-boost;compound-eyes
194,wooper,乌波,Type.Water, Type.Ground,55,45,45,25,25,15,damp;water-absorb
195,quagsire,沼王,Type.Water, Type.Ground,95,85,85,65,65,35,damp;water-absorb
196,espeon,太阳伊布,Type.Psychic, null,65,65,60,130,95,110,synchronize
197,umbreon,月亮伊布,Type.Dark, null,95,65,110,60,130,65,synchronize
198,murkrow,黑暗鸦,Type.Dark, Type.Flying,60,85,42,85,42,91,insomnia;super-luck
199,slowking,呆呆王,Type.Water, Type.Psychic,95,75,80,100,110,30,oblivious;own-tempo
200,misdreavus,梦妖,Type.Ghost, null,60,60,60,85,85,85,levitate
201,unown,未知图腾,Type.Psychic, null,48,72,48,72,48,48,levitate
202,wobbuffet,果然翁,Type.Psychic, null,190,33,58,33,58,33,shadow-tag
203,girafarig,麒麟奇,Type.Normal, Type.Psychic,70,80,65,90,65,85,inner-focus;early-bird
204,pineco,榛果球,Type.Bug, null,50,65,90,35,35,15,sturdy
205,forretress,佛烈托斯,Type.Bug, Type.Steel,75,90,140,60,60,40,sturdy
206,dunsparce,土龙弟弟,Type.Normal, null,100,70,70,65,65,45,serene-grace;run-away
207,gligar,天蝎,Type.Ground, Type.Flying,65,75,105,35,65,85,hyper-cutter;sand-veil
208,steelix,大钢蛇,Type.Steel, Type.Ground,75,85,200,55,65,30,rock-head;sturdy
209,snubbull,布鲁,Type.Fairy, null,60,80,50,40,40,30,intimidate;run-away
210,granbull,布鲁皇,Type.Fairy, null,90,120,75,60,60,45,intimidate;quick-feet
211,qwilfish,千针鱼,Type.Water, Type.Poison,65,95,85,55,55,85,poison-point;swift-swim
212,scizor,巨钳螳螂,Type.Bug, Type.Steel,70,130,100,55,80,65,swarm;technician
213,shuckle,壶壶,Type.Bug, Type.Rock,20,10,230,10,230,5,sturdy;gluttony
214,heracross,赫拉克罗斯,Type.Bug, Type.Fighting,80,125,75,40,95,85,swarm;guts
215,sneasel,狃拉,Type.Dark, Type.Ice,55,95,55,35,75,115,inner-focus;keen-eye
216,teddiursa,熊宝宝,Type.Normal, null,60,80,50,50,50,40,pickup;quick-feet
217,ursaring,圈圈熊,Type.Normal, null,90,130,75,75,75,55,guts;quick-feet
218,slugma,熔岩虫,Type.Fire, null,40,40,40,70,40,20,magma-armor;flame-body
219,magcargo,熔岩蜗牛,Type.Fire, Type.Rock,60,50,120,90,80,30,magma-armor;flame-body
220,swinub,小山猪,Type.Ice, Type.Ground,50,50,40,30,30,50,oblivious;snow-cloak
221,piloswine,长毛猪,Type.Ice, Type.Ground,100,100,80,60,60,50,oblivious;snow-cloak
222,corsola,太阳珊瑚,Type.Water, Type.Rock,65,55,95,65,95,35,hustle;natural-cure
223,remoraid,铁炮鱼,Type.Water, null,35,65,35,65,35,65,hustle;sniper
224,octillery,章鱼桶,Type.Water, null,75,105,75,105,75,45,suction-cups;sniper
225,delibird,信使鸟,Type.Ice, Type.Flying,45,55,45,65,45,75,vital-spirit;hustle
226,mantine,巨翅飞鱼,Type.Water, Type.Flying,85,40,70,80,140,70,swift-swim;water-absorb
227,skarmory,盔甲鸟,Type.Steel, Type.Flying,65,80,140,40,70,70,keen-eye;sturdy
228,houndour,戴鲁比,Type.Dark, Type.Fire,45,60,30,80,50,65,early-bird;flash-fire
229,houndoom,黑鲁加,Type.Dark, Type.Fire,75,90,50,110,80,95,early-bird;flash-fire
230,kingdra,刺龙王,Type.Water, Type.Dragon,75,95,95,95,95,85,swift-swim;sniper
231,phanpy,小小象,Type.Ground, null,90,60,60,40,40,40,pickup
232,donphan,顿甲,Type.Ground, null,90,120,120,60,60,50,sturdy
233,porygon2,多边兽２型,Type.Normal, null,85,80,90,105,95,60,trace;download
234,stantler,惊角鹿,Type.Normal, null,73,95,62,85,65,85,intimidate;frisk
235,smeargle,图图犬,Type.Normal, null,55,20,35,20,45,75,own-tempo;technician
236,tyrogue,无畏小子,Type.Fighting, null,35,35,35,35,35,35,guts;steadfast
237,hitmontop,战舞郎,Type.Fighting, null,50,95,95,35,110,70,intimidate;technician
238,smoochum,迷唇娃,Type.Ice, Type.Psychic,45,30,15,85,65,65,oblivious;forewarn
239,elekid,电击怪,Type.Electric, null,45,63,37,65,55,95,static
240,magby,鸭嘴宝宝,Type.Fire, null,45,75,37,70,55,83,flame-body
241,miltank,大奶罐,Type.Normal, null,95,80,105,40,70,100,thick-fat;scrappy
242,blissey,幸福蛋,Type.Normal, null,255,10,10,75,135,55,natural-cure;serene-grace
243,raikou,雷公,Type.Electric, null,90,85,75,115,100,115,pressure
244,entei,炎帝,Type.Fire, null,115,115,85,90,75,100,pressure
245,suicune,水君,Type.Water, null,100,75,115,90,115,85,pressure
246,larvitar,幼基拉斯,Type.Rock, Type.Ground,50,64,50,45,50,41,guts
247,pupitar,沙基拉斯,Type.Rock, Type.Ground,70,84,70,65,70,51,shed-skin
248,tyranitar,班基拉斯,Type.Rock, Type.Dark,100,134,110,95,100,61,sand-stream
249,lugia,洛奇亚,Type.Psychic, Type.Flying,106,90,130,90,154,110,pressure
250,ho-oh,凤王,Type.Fire, Type.Flying,106,130,90,110,154,90,pressure
251,celebi,时拉比,Type.Psychic, Type.Grass,100,100,100,100,100,100,natural-cure
252,treecko,木守宫,Type.Grass, null,40,45,35,65,55,70,overgrow
253,grovyle,森林蜥蜴,Type.Grass, null,50,65,45,85,65,95,overgrow
254,sceptile,蜥蜴王,Type.Grass, null,70,85,65,105,85,120,overgrow
255,torchic,火稚鸡,Type.Fire, null,45,60,40,70,50,45,blaze
256,combusken,力壮鸡,Type.Fire, Type.Fighting,60,85,60,85,60,55,blaze
257,blaziken,火焰鸡,Type.Fire, Type.Fighting,80,120,70,110,70,80,blaze
258,mudkip,水跃鱼,Type.Water, null,50,70,50,50,50,40,torrent
259,marshtomp,沼跃鱼,Type.Water, Type.Ground,70,85,70,60,70,50,torrent
260,swampert,巨沼怪,Type.Water, Type.Ground,100,110,90,85,90,60,torrent
261,poochyena,土狼犬,Type.Dark, null,35,55,35,30,30,35,run-away;quick-feet
262,mightyena,大狼犬,Type.Dark, null,70,90,70,60,60,70,intimidate;quick-feet
263,zigzagoon,蛇纹熊,Type.Normal, null,38,30,41,30,41,60,pickup;gluttony
264,linoone,直冲熊,Type.Normal, null,78,70,61,50,61,100,pickup;gluttony
265,wurmple,刺尾虫,Type.Bug, null,45,45,35,20,30,20,shield-dust
266,silcoon,甲壳茧,Type.Bug, null,50,35,55,25,25,15,shed-skin
267,beautifly,狩猎凤蝶,Type.Bug, Type.Flying,60,70,50,100,50,65,swarm
268,cascoon,盾甲茧,Type.Bug, null,50,35,55,25,25,15,shed-skin
269,dustox,毒粉蛾,Type.Bug, Type.Poison,60,50,70,50,90,65,shield-dust
270,lotad,莲叶童子,Type.Water, Type.Grass,40,30,30,40,50,30,swift-swim;rain-dish
271,lombre,莲帽小童,Type.Water, Type.Grass,60,50,50,60,70,50,swift-swim;rain-dish
272,ludicolo,乐天河童,Type.Water, Type.Grass,80,70,70,90,100,70,swift-swim;rain-dish
273,seedot,橡实果,Type.Grass, null,40,40,50,30,30,30,chlorophyll;early-bird
274,nuzleaf,长鼻叶,Type.Grass, Type.Dark,70,70,40,60,40,60,chlorophyll;early-bird
275,shiftry,狡猾天狗,Type.Grass, Type.Dark,90,100,60,90,60,80,chlorophyll;wind-rider
276,taillow,傲骨燕,Type.Normal, Type.Flying,40,55,30,30,30,85,guts
277,swellow,大王燕,Type.Normal, Type.Flying,60,85,60,75,50,125,guts
278,wingull,长翅鸥,Type.Water, Type.Flying,40,30,30,55,30,85,keen-eye;hydration
279,pelipper,大嘴鸥,Type.Water, Type.Flying,60,50,100,95,70,65,keen-eye;drizzle
280,ralts,拉鲁拉丝,Type.Psychic, Type.Fairy,28,25,25,45,35,40,synchronize;trace
281,kirlia,奇鲁莉安,Type.Psychic, Type.Fairy,38,35,35,65,55,50,synchronize;trace
282,gardevoir,沙奈朵,Type.Psychic, Type.Fairy,68,65,65,125,115,80,synchronize;trace
283,surskit,溜溜糖球,Type.Bug, Type.Water,40,30,32,50,52,65,swift-swim
284,masquerain,雨翅蛾,Type.Bug, Type.Flying,70,60,62,100,82,80,intimidate
285,shroomish,蘑蘑菇,Type.Grass, null,60,40,60,40,60,35,effect-spore;poison-heal
286,breloom,斗笠菇,Type.Grass, Type.Fighting,60,130,80,60,60,70,effect-spore;poison-heal
287,slakoth,懒人獭,Type.Normal, null,60,60,60,35,35,30,truant
288,vigoroth,过动猿,Type.Normal, null,80,80,80,55,55,90,vital-spirit
289,slaking,请假王,Type.Normal, null,150,160,100,95,65,100,truant
290,nincada,土居忍士,Type.Bug, Type.Ground,31,45,90,30,30,40,compound-eyes
291,ninjask,铁面忍者,Type.Bug, Type.Flying,61,90,45,50,50,160,speed-boost
292,shedinja,脱壳忍者,Type.Bug, Type.Ghost,1,90,45,30,30,40,wonder-guard
293,whismur,咕妞妞,Type.Normal, null,64,51,23,51,23,28,soundproof
294,loudred,吼爆弹,Type.Normal, null,84,71,43,71,43,48,soundproof
295,exploud,爆音怪,Type.Normal, null,104,91,63,91,73,68,soundproof
296,makuhita,幕下力士,Type.Fighting, null,72,60,30,20,30,25,thick-fat;guts
297,hariyama,铁掌力士,Type.Fighting, null,144,120,60,40,60,50,thick-fat;guts
298,azurill,露力丽,Type.Normal, Type.Fairy,50,20,40,20,40,20,thick-fat;huge-power
299,nosepass,朝北鼻,Type.Rock, null,30,45,135,45,90,30,sturdy;magnet-pull
300,skitty,向尾喵,Type.Normal, null,50,45,45,35,35,50,cute-charm;normalize
301,delcatty,优雅猫,Type.Normal, null,70,65,65,55,55,90,cute-charm;normalize
302,sableye,勾魂眼,Type.Dark, Type.Ghost,50,75,75,65,65,50,keen-eye;stall
303,mawile,大嘴娃,Type.Steel, Type.Fairy,50,85,85,55,55,50,hyper-cutter;intimidate
304,aron,可可多拉,Type.Steel, Type.Rock,50,70,100,40,40,30,sturdy;rock-head
305,lairon,可多拉,Type.Steel, Type.Rock,60,90,140,50,50,40,sturdy;rock-head
306,aggron,波士可多拉,Type.Steel, Type.Rock,70,110,180,60,60,50,sturdy;rock-head
307,meditite,玛沙那,Type.Fighting, Type.Psychic,30,40,55,40,55,60,pure-power
308,medicham,恰雷姆,Type.Fighting, Type.Psychic,60,60,75,60,75,80,pure-power
309,electrike,落雷兽,Type.Electric, null,40,45,40,65,40,65,static;lightning-rod
